Course,Credit Hours,Prerequisite,Corequisite 
MATH101,4,,
IAS121,2,,
PE101,1,,
ICS104,3,,
PHYS101,4,,MATH101
ENGL101,3,,
MATH102,4,MATH101,
IAS111,2,,
ICS108,4,ICS104,
PHYS102,4,PHYS101,MATH102
ENGL102,3,ENGL101,
MATH208,3,MATH102,
ISE291,3,ICS104;MATH102,
SWE206,3,ICS108,
ICS202,4,ICS108,
COE202,3,PHYS102,
COE203,1,,COE202
MATH201,3,MATH102,
COE292,3,ISE291,
ICS253,3,ICS104,
COE301,4,ICS104;COE202,
CHEM101,4,,
STAT 319,3,MATH 102,
SWE 363,3,,
ICS 321,3,ICS 202,
ICS 343,4,ICS 108,
ENGL 214,3,ENGL 214,
IAS 212,2,,
ICS 381,3,ICS 253,STAT 319
ICS 353,3,ICS 202,
ICS 344,3,ICS 343,
CGS 392,1,ENGL 214,
BUS 200,3,,
,,,
ICS 399,0,ENGL 214;ICS 321;SWE 206;SWE 363,
ICS/SWE XXX,3,,
ICS/SWE XXX,3,,
XE XXX,3,,
ICS 410,3,ICS 202,
ICS 433,3,COE 301,
ICS/SWE XXX,3,,
ICS/SWE XXX,3,,
ICS 411,3,ICS 399,
GS XXX,3,,
IAS XXX,2,,
